acc_t_kurt_z,0,0,8,0,0,0,19,0,8,0,0,0,0,0,2,0,5,6,0,0,24,0,0,8,0,0,0,8,0,21,0,0,0,2,0,0,0,16,0,4,2,0,1,10,0,3,0,8,1,0,11,0,0,19,0,0,0,0,0,0,31,0,8,0,1,0,23,0,8,0,0,0,0,0,2,15,12,0,0,1,1,0,14,7,0,16,0,20,9,0,0,18,4.04,6.98
acc_t_amp_x,0,0,14,1,1,0,7,0,5,0,2,0,1,1,2,0,10,3,1,0,13,2,0,8,2,1,1,5,2,13,0,0,0,3,1,0,1,10,0,10,8,1,1,13,0,4,0,9,2,1,10,0,0,23,0,0,0,0,0,0,17,0,8,0,2,1,17,0,4,0,0,0,0,1,2,4,9,1,3,0,0,1,9,13,1,16,0,24,26,1,0,16,4.0,6.05
acc_t_skew_x,0,0,10,0,0,0,18,0,4,1,0,0,0,0,3,0,5,2,0,0,19,2,2,4,0,1,0,8,1,18,0,0,0,4,0,0,1,8,0,6,5,0,0,6,0,2,1,7,2,0,8,0,0,21,0,0,0,0,0,0,18,0,13,0,2,0,8,0,8,0,1,0,0,0,0,10,7,0,3,0,0,0,9,10,0,23,0,22,38,0,0,20,3.92,6.95
gyro_a_entr_a,0,0,17,0,0,0,7,0,4,1,0,0,0,0,1,0,3,1,0,0,10,0,1,0,0,0,0,1,0,26,0,0,0,1,0,0,0,19,1,2,8,0,0,0,0,0,0,2,0,0,11,0,0,38,0,0,0,0,0,0,28,0,11,0,0,0,19,0,1,0,0,0,0,0,2,6,12,0,0,0,0,0,13,1,0,17,0,40,28,0,0,26,3.89,8.59
gyro_p_interq_z,0,0,4,0,0,0,15,0,4,0,0,0,0,0,2,1,6,2,1,0,23,0,0,1,1,0,0,6,0,20,1,0,0,3,0,0,0,14,0,5,12,0,1,3,0,4,0,3,1,0,15,0,0,14,0,0,0,0,0,0,20,0,9,0,1,0,21,0,12,0,0,0,0,1,4,6,19,0,1,0,0,0,18,4,0,30,0,20,15,0,0,14,3.88,6.84
gyro_t_max_a,0,0,20,1,0,0,5,0,0,0,0,0,0,0,1,0,13,1,0,0,14,0,0,7,0,0,0,2,0,23,0,0,0,3,0,0,0,13,0,7,8,0,0,0,0,0,0,14,0,0,16,0,0,24,0,0,0,0,0,0,28,1,11,0,0,0,18,0,1,0,0,0,0,0,1,2,11,0,0,0,0,0,20,2,0,17,0,22,21,0,0,21,3.78,7.26
gyro_a_mainY_y,0,0,13,0,0,0,22,0,7,0,0,0,0,0,2,0,15,4,0,0,14,0,0,4,0,0,0,5,0,7,0,0,0,2,0,0,0,12,0,8,11,0,0,8,0,1,0,11,2,0,14,0,0,18,0,0,0,0,0,0,19,0,14,0,0,0,16,0,9,0,0,0,0,0,1,8,15,0,2,0,0,0,11,7,0,17,0,14,9,0,0,19,3.71,6.02
acc_f_max_a,2,0,10,0,0,1,8,0,3,0,0,0,0,1,1,0,10,2,0,0,25,1,1,6,1,0,0,5,1,9,0,1,1,4,0,0,0,8,0,4,12,0,0,4,0,4,0,11,1,1,13,0,0,13,1,1,1,0,0,1,15,2,9,0,2,1,13,1,2,0,0,0,0,0,1,13,15,0,1,0,0,1,10,5,1,11,1,23,13,1,2,21,3.61,5.62
gyro_t_skew_x,0,0,3,2,0,0,8,0,3,0,1,1,1,0,1,2,8,3,0,2,8,0,1,1,2,1,0,2,0,5,1,0,0,1,1,1,3,12,1,6,10,3,1,4,2,3,0,12,2,3,6,1,1,13,0,3,1,0,1,0,7,1,2,0,2,2,11,1,6,0,2,0,2,2,4,7,6,2,1,2,3,1,15,8,0,15,4,18,26,0,1,33,3.6,5.51
gyro_p_lgEnergy_x,0,0,7,0,0,0,18,0,5,0,0,0,0,0,1,0,4,1,0,0,25,1,0,4,0,0,0,13,0,10,0,0,0,3,0,0,0,13,0,4,4,0,0,4,0,1,0,8,0,0,12,0,0,22,0,0,0,0,0,0,34,0,4,0,0,0,14,0,4,0,0,0,0,0,2,5,8,0,1,0,0,0,5,11,0,17,0,17,24,0,0,17,3.51,6.78
